"No.","Time","Source","Destination","Protocol","Length","Info"
"57146","199.895380","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3911 Ack=59436 Win=4180 Len=0"
"57147","199.895380","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3911 Ack=60872 Win=4192 Len=0"
"57150","199.913976","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=60872 Ack=3911 Win=511 Len=1392 [TCP segment of a reassembled PDU]"
"57151","199.913976","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=62264 Ack=3911 Win=511 Len=1392 [TCP segment of a reassembled PDU]"
"57152","199.913976","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=63656 Ack=3911 Win=511 Len=1392 [TCP segment of a reassembled PDU]"
"57153","199.913976","192.168.0.10","157.240.251.61","TCP","274","64144  >  5222 [PSH, ACK] Seq=65048 Ack=3911 Win=511 Len=220 [TCP segment of a reassembled PDU]"
"57154","199.982915","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3911 Ack=62264 Win=4202 Len=0"
"57155","199.989190","157.240.251.61","192.168.0.10","TCP","66","[TCP Window Update] 5222  >  64144 [ACK] Seq=3911 Ack=62264 Win=4215 Len=0 SLE=63656 SRE=65268"
"57156","199.989655","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3911 Ack=65268 Win=4226 Len=0"
"57165","200.188857","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=3911 Ack=65268 Win=4226 Len=85 [TCP segment of a reassembled PDU]"
"57179","200.189462","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=3996 Ack=65268 Win=4226 Len=85 [TCP segment of a reassembled PDU]"
"57182","200.189822","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=65268 Ack=4081 Win=516 Len=0"
"57203","200.491048","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=4081 Ack=65268 Win=4226 Len=72 [TCP segment of a reassembled PDU]"
"57204","200.493287","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=65268 Ack=4153 Win=516 Len=66 [TCP segment of a reassembled PDU]"
"57205","200.526999","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=4153 Ack=65268 Win=4226 Len=72 [TCP segment of a reassembled PDU]"
"57206","200.528510","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=65334 Ack=4225 Win=516 Len=66 [TCP segment of a reassembled PDU]"
"57208","200.592746","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4225 Ack=65334 Win=4226 Len=0"
"57209","200.599158","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4225 Ack=65400 Win=4226 Len=0"
"57210","200.898606","157.240.251.61","192.168.0.10","XMPP/XML","122","UNKNOWN PACKET "
"57211","200.898606","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=4293 Ack=65400 Win=4226 Len=68 [TCP segment of a reassembled PDU]"
"57212","200.898874","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=65400 Ack=4361 Win=515 Len=0"
"57213","200.900742","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=65400 Ack=4361 Win=515 Len=64 [TCP segment of a reassembled PDU]"
"57214","200.901753","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=65464 Ack=4361 Win=515 Len=64 [TCP segment of a reassembled PDU]"
"57215","201.001051","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4361 Ack=65464 Win=4226 Len=0"
"57216","201.001051","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4361 Ack=65528 Win=4226 Len=0"
"57258","202.517911","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=65528 Ack=4361 Win=515 Len=1392 [TCP segment of a reassembled PDU]"
"57259","202.517911","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=66920 Ack=4361 Win=515 Len=1392 [TCP segment of a reassembled PDU]"
