"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.240.196.60","10.0.2.15","TLSv1.2","753","Application Data"
"2","0.053764","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1 Ack=700 Win=65535 Len=0"
"4","0.224554","10.0.2.15","157.240.196.60","TLSv1.2","150","Application Data"
"5","0.231576","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=700 Ack=97 Win=65535 Len=0"
"8","0.281325","157.240.196.60","10.0.2.15","TLSv1.2","195","Application Data"
"9","0.281344","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=97 Ack=841 Win=65535 Len=0"
"10","0.298689","10.0.2.15","157.240.196.60","TLSv1.2","154","Application Data"
"11","0.300753","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=841 Ack=197 Win=65535 Len=0"
"32","8.888958","157.240.196.60","10.0.2.15","TLSv1.2","769","Application Data"
"33","8.937963","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=197 Ack=1556 Win=65535 Len=0"
"34","9.142507","157.240.196.60","10.0.2.15","TLSv1.2","195","Application Data"
"35","9.142530","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=197 Ack=1697 Win=65535 Len=0"
"36","9.289955","10.0.2.15","157.240.196.60","TLSv1.2","154","Application Data"
"37","9.291955","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1697 Ack=297 Win=65535 Len=0"
"39","9.294834","10.0.2.15","157.240.196.60","TLSv1.2","150","Application Data"
"40","9.295296","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1697 Ack=393 Win=65535 Len=0"
"61","11.105008","157.240.196.60","10.0.2.15","TLSv1.2","195","Application Data"
"62","11.105157","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=393 Ack=1838 Win=65535 Len=0"
"63","11.116389","10.0.2.15","157.240.196.60","TLSv1.2","154","Application Data"
"64","11.117090","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1838 Ack=493 Win=65535 Len=0"
"65","11.254440","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"66","11.255811","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1838 Ack=562 Win=65535 Len=0"
"67","11.414448","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
