"No.","Time","Source","Destination","Protocol","Length","Info"
"4618","80.710921","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=19681 Ack=1944 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"4620","80.720471","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1944 Ack=19756 Win=511 Len=71 [TCP segment of a reassembled PDU]"
"4622","80.802450","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=19756 Ack=2015 Win=3725 Len=0"
"4633","81.574940","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=19756 Ack=2015 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"4634","81.575140","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=20268 Ack=2015 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"4635","81.575415","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2015 Ack=20780 Win=516 Len=0"
"4636","81.576223","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=20780 Ack=2015 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"4641","81.602780","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2015 Ack=21024 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"4643","81.675097","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=21024 Ack=2085 Win=3725 Len=0"
"4769","83.861298","157.240.251.61","192.168.0.10","TCP","159","5222  >  64144 [PSH, ACK] Seq=21024 Ack=2085 Win=3725 Len=105 [TCP segment of a reassembled PDU]"
"4770","83.864998","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=21129 Ack=2085 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"4774","83.865473","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2085 Ack=21204 Win=514 Len=0"
"4777","83.972970","192.168.0.10","157.240.251.61","TCP","100","64144  >  5222 [PSH, ACK] Seq=2085 Ack=21204 Win=514 Len=46 [TCP segment of a reassembled PDU]"
"4778","83.976780","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2131 Ack=21204 Win=514 Len=71 [TCP segment of a reassembled PDU]"
"4823","84.081226","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=21204 Ack=2131 Win=3725 Len=0"
"4829","84.081481","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=21204 Ack=2202 Win=3725 Len=0"
"4943","85.890043","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=21204 Ack=2202 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"4944","85.890043","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=21716 Ack=2202 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"4945","85.890043","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=22228 Ack=2202 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"4946","85.890258","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2202 Ack=22228 Win=516 Len=0"
"4948","85.938476","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2202 Ack=22472 Win=515 Len=0"
"4949","85.948464","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2202 Ack=22472 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"4952","86.019818","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=22472 Ack=2272 Win=3725 Len=0"
"5085","87.010441","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=22472 Ack=2272 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"5086","87.018702","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2272 Ack=22547 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"5087","87.114825","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=22547 Ack=2343 Win=3725 Len=0"
"5308","93.069417","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=22547 Ack=2343 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"5309","93.070959","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=23059 Ack=2343 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"5310","93.071300","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2343 Ack=23571 Win=511 Len=0"
"5311","93.071823","157.240.251.61","192.168.0.10","TCP","282","5222  >  64144 [PSH, ACK] Seq=23571 Ack=2343 Win=3725 Len=228 [TCP segment of a reassembled PDU]"
"5316","93.104688","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2343 Ack=23799 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"5318","93.174852","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=23799 Ack=2413 Win=3725 Len=0"
